novela/Título,novela/Autor,novela/Serie,novela/Vol.,novela/Editorial,novela/Idioma,novela/Notas,manga/Manga,manga/Tomo,manga/Guión,manga/Dibujo,manga/Editorial,manga/Idioma,revistas/Revista,revistas/Publicación,revistas/País
El Testamento Maya,"Alten, Steve",El Testamento Maya,1,Grijalbo,spa,,No. 6,001,Atsuko Asano,Hinoki Kino,Ivrea,spa,Cherry,3/2024,JPN
La Resurrección Maya,"Alten, Steve",El Testamento Maya,2,Grijalbo,spa,,No. 6,002,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
Assassin's Creed,"Bowden, Oliver",Assassin's Creed,,La Esfera de los Libros,spa,,No. 6,003,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
Ángeles y demonios,"Brown, Dan",Robert Langdon,1,Umbriel,spa,,No. 6,004,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
El Código DaVinci,"Brown, Dan",Robert Langdon,2,Umbriel,spa,,No. 6,005,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
El Símbolo Perdido,"Brown, Dan",Robert Langdon,3,Booket,spa,,No. 6,006,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
Inferno,"Brown, Dan",Robert Langdon,4,Planeta,spa,,No. 6,007,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
Origen,"Brown, Dan",Robert Langdon,5,Planeta,spa,,No. 6,008,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
La Conspiración,"Brown, Dan",,,Umbriel,spa,,No. 6,009,Atsuko Asano,Hinoki Kino,Ivrea,spa,,,
La Fortaleza Digital,"Brown, Dan",,,Umbriel,spa,,IDOLiSH7 - Re:member,001,Bunta Tsushimi,Arina Tanemura,Hakusensha,jp,,,
Alicia en el País de las Maravillas y a Través del Espejo,"Carrol, Lewis",,,Alianza Editorial,spa,,IDOLiSH7 - Re:member,002,Bunta Tsushimi,Arina Tanemura,Hakusensha,jp,,,
Los Juegos del Hambre,"Collins, Suzanne",Los Juegos del Hambre,1,RBA,spa,,IDOLiSH7 - Re:member,003,Bunta Tsushimi,Arina Tanemura,Hakusensha,jp,,,
En Llamas,"Collins, Suzanne",Los Juegos del Hambre,2,RBA,spa,,IDOLISH7,001,Bunta Tsushimi,Arina Tanemura,ECC,spa,,,
Sinsajo,"Collins, Suzanne",Los Juegos del Hambre,3,RBA,spa,,IDOLISH7,002,Bunta Tsushimi,Arina Tanemura,ECC,spa,,,
Sherlock Holmes: Estudio en Escarlata,"Conan Doyle, Sir Arthur",Sherlock Holmes,,DeBolsillo,spa,,IDOLISH7 - TRIGGER,001,Bunta Tsushimi,Arina Tanemura,ECC,spa,,,
Sherlock Holmes: Novelas,"Conan Doyle, Sir Arthur",Sherlock Holmes,,Penguin Clásicos,spa,,SOLANIN integral,001,Inio Asano,Inio Asano,Norma Editorial,spa,,,
